Car Model,Color,Transmission,Mileage,Model Year,Registration City,Price,URL
Toyota Prado 2010 for sale in Islamabad,Red,Automatic,"140,000",2010,Islamabad,"PKR 14,200,000",httpswww.pakwheels.comused-carstoyota-prado-2010-for-sale-in-islamabad-10175242
Toyota Prado 2010 for sale in Islamabad,Red,Automatic,"101,000",2010,Islamabad,"PKR 13,900,000",httpswww.pakwheels.comused-carstoyota-prado-2010-for-sale-in-islamabad-10194883
Toyota Corolla Axio 2017 for sale in Islamabad,Red,Automatic,"72,000",2017,Islamabad,"PKR 5,450,000",httpswww.pakwheels.comused-carstoyota-corolla-axio-2017-for-sale-in-islamabad-10216254
Toyota Corolla 2012 for sale in Islamabad,Red,Automatic,"110,000",2012,Islamabad,"PKR 3,880,000",httpswww.pakwheels.comused-carstoyota-corolla-2012-for-sale-in-islamabad-10216251
Toyota Land Cruiser 2009 for sale in Islamabad,Red,Automatic,"80,000",2009,Islamabad,"PKR 20,500,000",httpswww.pakwheels.comused-carstoyota-land-cruiser-2009-for-sale-in-islamabad-10216243
Toyota Prado 2002 for sale in Islamabad,Red,Automatic,"190,000",2002,Islamabad,"PKR 7,900,000",httpswww.pakwheels.comused-carstoyota-prado-2002-for-sale-in-islamabad-10216238
Toyota Land Cruiser 2008 for sale in Islamabad,Red,Automatic,"80,000",2008,Islamabad,"PKR 25,500,000",httpswww.pakwheels.comused-carstoyota-land-cruiser-2008-for-sale-in-islamabad-10216155
Toyota Corolla 2016 for sale in Islamabad,Red,Manual,"101,000",2016,Islamabad,"PKR 3,570,000",httpswww.pakwheels.comused-carstoyota-corolla-2016-for-sale-in-islamabad-10204101
Toyota Prado 2010 for sale in Islamabad,Red,Automatic,"160,000",2010,Islamabad,"PKR 16,500,000",httpswww.pakwheels.comused-carstoyota-prado-2010-for-sale-in-islamabad-10215995
Toyota Hilux 2022 for sale in Islamabad,Red,Automatic,"36,000",2022,Islamabad,"PKR 13,800,000",httpswww.pakwheels.comused-carstoyota-hilux-2022-for-sale-in-islamabad-10201439
Toyota Yaris Hatchback 2014 for sale in Islamabad,Red,Automatic,"80,248",2014,Islamabad,"PKR 3,500,000",httpswww.pakwheels.comused-carstoyota-yaris-hatchback-2014-for-sale-in-islamabad-10154820
Toyota Vitz 2016 for sale in Islamabad,Red,Automatic,"270,000",2016,Islamabad,"PKR 3,495,000",httpswww.pakwheels.comused-carstoyota-vitz-2016-for-sale-in-islamabad-9943983
Toyota Corolla 2016 for sale in Islamabad,NA,Automatic,"67,000",2016,Islamabad,"PKR 4,500,000",httpswww.pakwheels.comused-carstoyota-corolla-2016-for-sale-in-islamabad-10216338
Toyota Aqua 2016 for sale in Islamabad,NA,Automatic,"123,000",2016,Islamabad,"PKR 4,700,000",httpswww.pakwheels.comused-carstoyota-aqua-2016-for-sale-in-islamabad-10216262
Toyota Corolla 2014 for sale in Islamabad,NA,Manual,"148,000",2014,Islamabad,"PKR 3,600,000",httpswww.pakwheels.comused-carstoyota-corolla-2014-for-sale-in-islamabad-10216247
Toyota Hilux 2005 for sale in Islamabad,NA,Manual,"140,000",2005,Islamabad,"PKR 4,400,000",httpswww.pakwheels.comused-carstoyota-hilux-2005-for-sale-in-islamabad-10216118
Toyota Vitz 2005 for sale in Islamabad,NA,Automatic,"185,000",2005,Islamabad,"PKR 2,000,000",httpswww.pakwheels.comused-carstoyota-vitz-2005-for-sale-in-islamabad-10216027
Toyota Raize 2020 for sale in Islamabad,NA,Automatic,"80,000",2020,Islamabad,"PKR 5,200,000",httpswww.pakwheels.comused-carstoyota-raize-2020-for-sale-in-islamabad-10215991
